2025-06-26 09:16:54 [main] DEBUG IntegratorServiceImpl - Adding Integrator [org.hibernate.boot.beanvalidation.BeanValidationIntegrator].
2025-06-26 09:16:54 [main] DEBUG IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2025-06-26 09:16:54 [main] INFO  Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-06-26 09:16:54 [main] INFO  Environment - HHH000205: Loaded properties from resource hibernate.properties: {hibernate.connection.driver_class=org.sqlite.JDBC, hibernate.connection.url=jdbc:sqlite:JocMemoryMPP.sqlite, hibernate.hbm2ddl.auto=update, hibernate.dialect=org.hibernate.community.dialect.SQLiteDialect, hibernate.show_sql=true}
2025-06-26 09:16:54 [main] DEBUG Configuration - Building session factory using internal StandardServiceRegistryBuilder
2025-06-26 09:16:54 [main] DEBUG Configuration - Building session factory using provided StandardServiceRegistry
2025-06-26 09:16:54 [main] DEBUG factory - Ignoring CDI for resolving IdentifierGenerator instances as extended or delayed CDI support was enabled
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2025-06-26 09:16:54 [main] DEBUG factory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
