--- FORMA INTERNA A PROGRAMULUI (FIP) ---
| Cod Token | Pozitie TS |
|-----------|------------|
| 275       | 0          |
| 284       | 0          |
| 276       | 0          |
| 285       | 0          |
| 259       | 0          |
| 260       | 0          |
| 261       | 0          |
| 294       | 0          |
| 262       | 0          |
| 277       | 0          |
| 297       | 0          |
| 298       | 0          |
| 295       | 0          |
| 297       | 0          |
| 300       | 1          |
| 288       | 0          |
| 300       | 1          |
| 298       | 0          |
| 298       | 0          |
