N, M, K, Matrix Type, Method, Type, Thread Count, Output File, Average Execution Time (ms)
10, 10, 3, STATIC, SEQUENTIAL, None, 0, output_SEQUENTIAL_10_10_3_STATIC.txt, 38.2345
1000, 1000, 5, STATIC, SEQUENTIAL, None, 0, output_SEQUENTIAL_1000_1000_5_STATIC.txt, 184.778
10, 10000, 5, STATIC, SEQUENTIAL, None, 0, output_SEQUENTIAL_10_10000_5_STATIC.txt, 38.8261
10000, 10, 5, STATIC, SEQUENTIAL, None, 0, output_SEQUENTIAL_10000_10_5_STATIC.txt, 47.7007
10000, 10000, 5, STATIC, SEQUENTIAL, None, 0, output_SEQUENTIAL_10000_10000_5_STATIC.txt, 16164.7
10, 10, 3, DYNAMIC, SEQUENTIAL, None, 0, output_SEQUENTIAL_10_10_3_DYNAMIC.txt, 0.016042
1000, 1000, 5, DYNAMIC, SEQUENTIAL, None, 0, output_SEQUENTIAL_1000_1000_5_DYNAMIC.txt, 175.33
10, 10000, 5, DYNAMIC, SEQUENTIAL, None, 0, output_SEQUENTIAL_10_10000_5_DYNAMIC.txt, 17.6833
10000, 10, 5, DYNAMIC, SEQUENTIAL, None, 0, output_SEQUENTIAL_10000_10_5_DYNAMIC.txt, 17.858
10000, 10000, 5, DYNAMIC, SEQUENTIAL, None, 0, output_SEQUENTIAL_10000_10000_5_DYNAMIC.txt, 18120.3
10, 10, 3, STATIC, BATCH, ROWS, 4, output_BATCH_ROWS_10_10_3_4_STATIC.txt, 26.16558000000000000000
1000, 1000, 5, STATIC, BATCH, ROWS, 2, output_BATCH_ROWS_1000_1000_5_2_STATIC.txt, 106.06960000000000000000
1000, 1000, 5, STATIC, BATCH, ROWS, 4, output_BATCH_ROWS_1000_1000_5_4_STATIC.txt, 70.80000000000000000000
1000, 1000, 5, STATIC, BATCH, ROWS, 8, output_BATCH_ROWS_1000_1000_5_8_STATIC.txt, 61.11824000000000000000
1000, 1000, 5, STATIC, BATCH, ROWS, 16, output_BATCH_ROWS_1000_1000_5_16_STATIC.txt, 59.18111000000000000000
10, 10000, 5, STATIC, BATCH, ROWS, 2, output_BATCH_ROWS_10_10000_5_2_STATIC.txt, 32.12007000000000000000
10, 10000, 5, STATIC, BATCH, ROWS, 4, output_BATCH_ROWS_10_10000_5_4_STATIC.txt, 28.87264000000000000000
10, 10000, 5, STATIC, BATCH, ROWS, 8, output_BATCH_ROWS_10_10000_5_8_STATIC.txt, 29.08003000000000000000
10, 10000, 5, STATIC, BATCH, ROWS, 16, output_BATCH_ROWS_10_10000_5_16_STATIC.txt, 29.19432000000000000000
10000, 10, 5, STATIC, BATCH, ROWS, 2, output_BATCH_ROWS_10000_10_5_2_STATIC.txt, 35.53521000000000000000
10000, 10, 5, STATIC, BATCH, ROWS, 4, output_BATCH_ROWS_10000_10_5_4_STATIC.txt, 29.84422000000000000000
10000, 10, 5, STATIC, BATCH, ROWS, 8, output_BATCH_ROWS_10000_10_5_8_STATIC.txt, 29.86561000000000000000
10000, 10, 5, STATIC, BATCH, ROWS, 16, output_BATCH_ROWS_10000_10_5_16_STATIC.txt, 28.07304000000000000000
