N, M, K, Method, Type, Thread Count, Output File, Average Execution Time (ms)
10, 10, 3, INLINE_SEQUENTIAL, None, 1, output_INLINE_SEQUENTIAL_10_10_3.txt, 0.003208
1000, 1000, 3, INLINE_SEQUENTIAL, None, 1, output_INLINE_SEQUENTIAL_1000_1000_3.txt, 9.51871
10000, 10000, 3, INLINE_SEQUENTIAL, None, 1, output_INLINE_SEQUENTIAL_10000_10000_3.txt, 955.228
10, 10, 3, INLINE_PARALLEL, BARRIER, 2, output_INLINE_PARALLEL_10_10_3_2_BARRIER.txt, .04
1000, 1000, 3, INLINE_PARALLEL, BARRIER, 2, output_INLINE_PARALLEL_1000_1000_3_2_BARRIER.txt, 4.31
1000, 1000, 3, INLINE_PARALLEL, BARRIER, 4, output_INLINE_PARALLEL_1000_1000_3_4_BARRIER.txt, 2.41
1000, 1000, 3, INLINE_PARALLEL, BARRIER, 8, output_INLINE_PARALLEL_1000_1000_3_8_BARRIER.txt, 2.27
1000, 1000, 3, INLINE_PARALLEL, BARRIER, 16, output_INLINE_PARALLEL_1000_1000_3_16_BARRIER.txt, 2.20
10000, 10000, 3, INLINE_PARALLEL, BARRIER, 2, output_INLINE_PARALLEL_10000_10000_3_2_BARRIER.txt, 685.32
10000, 10000, 3, INLINE_PARALLEL, BARRIER, 4, output_INLINE_PARALLEL_10000_10000_3_4_BARRIER.txt, 425.05
10000, 10000, 3, INLINE_PARALLEL, BARRIER, 8, output_INLINE_PARALLEL_10000_10000_3_8_BARRIER.txt, 279.07
10000, 10000, 3, INLINE_PARALLEL, BARRIER, 16, output_INLINE_PARALLEL_10000_10000_3_16_BARRIER.txt, 341.04
10, 10, 3, INLINE_PARALLEL, FLAG, 2, output_INLINE_PARALLEL_10_10_3_2_FLAG.txt, .03
1000, 1000, 3, INLINE_PARALLEL, FLAG, 2, output_INLINE_PARALLEL_1000_1000_3_2_FLAG.txt, 4.30
1000, 1000, 3, INLINE_PARALLEL, FLAG, 4, output_INLINE_PARALLEL_1000_1000_3_4_FLAG.txt, 2.74
1000, 1000, 3, INLINE_PARALLEL, FLAG, 8, output_INLINE_PARALLEL_1000_1000_3_8_FLAG.txt, 2.35
1000, 1000, 3, INLINE_PARALLEL, FLAG, 16, output_INLINE_PARALLEL_1000_1000_3_16_FLAG.txt, 3.49
10000, 10000, 3, INLINE_PARALLEL, FLAG, 2, output_INLINE_PARALLEL_10000_10000_3_2_FLAG.txt, 541.25
10000, 10000, 3, INLINE_PARALLEL, FLAG, 4, output_INLINE_PARALLEL_10000_10000_3_4_FLAG.txt, 388.52
10000, 10000, 3, INLINE_PARALLEL, FLAG, 8, output_INLINE_PARALLEL_10000_10000_3_8_FLAG.txt, 339.30
10000, 10000, 3, INLINE_PARALLEL, FLAG, 16, output_INLINE_PARALLEL_10000_10000_3_16_FLAG.txt, 287.63
