N1 Size, N2 Size, No. Processes, Output File, Average Execution Time (ms)
16,16, 1, output1_SEQUENTIAL.txt, .06
10000,10000, 1, output2_SEQUENTIAL.txt, .54
100,100000, 1, output3_SEQUENTIAL.txt, 2.44
16,16, 5, output1_MPI_SEND_RECV_POSTCOMPUTE.txt, .31
16,16, 9, output1_MPI_SEND_RECV_POSTCOMPUTE.txt, .46
16,16, 17, output1_MPI_SEND_RECV_POSTCOMPUTE.txt, 1.88
10000,10000, 5, output2_MPI_SEND_RECV_POSTCOMPUTE.txt, .94
10000,10000, 9, output2_MPI_SEND_RECV_POSTCOMPUTE.txt, 1.39
10000,10000, 17, output2_MPI_SEND_RECV_POSTCOMPUTE.txt, 1.85
100,100000, 5, output3_MPI_SEND_RECV_POSTCOMPUTE.txt, 10.26
100,100000, 9, output3_MPI_SEND_RECV_POSTCOMPUTE.txt, 8.51
100,100000, 17, output3_MPI_SEND_RECV_POSTCOMPUTE.txt, 14.10
16,16, 5, output1_MPI_ISEND_IRECV.txt, .40
16,16, 9, output1_MPI_ISEND_IRECV.txt, .42
16,16, 17, output1_MPI_ISEND_IRECV.txt, 1.87
10000,10000, 5, output2_MPI_ISEND_IRECV.txt, 1.04
10000,10000, 9, output2_MPI_ISEND_IRECV.txt, 2.63
10000,10000, 17, output2_MPI_ISEND_IRECV.txt, 3.84
100,100000, 5, output3_MPI_ISEND_IRECV.txt, 12.04
100,100000, 9, output3_MPI_ISEND_IRECV.txt, 11.68
100,100000, 17, output3_MPI_ISEND_IRECV.txt, 14.78
16,16, 5, output1_MPI_SEND_RECV_PRECOMPUTE.txt, .41
16,16, 9, output1_MPI_SEND_RECV_PRECOMPUTE.txt, .40
16,16, 17, output1_MPI_SEND_RECV_PRECOMPUTE.txt, 1.79
10000,10000, 5, output2_MPI_SEND_RECV_PRECOMPUTE.txt, 1.14
10000,10000, 9, output2_MPI_SEND_RECV_PRECOMPUTE.txt, 1.25
10000,10000, 17, output2_MPI_SEND_RECV_PRECOMPUTE.txt, 1.98
100,100000, 5, output3_MPI_SEND_RECV_PRECOMPUTE.txt, 7.87
100,100000, 9, output3_MPI_SEND_RECV_PRECOMPUTE.txt, 8.37
100,100000, 17, output3_MPI_SEND_RECV_PRECOMPUTE.txt, 12.38
16,16, 4, output1_MPI_SCATTER_GATHER.txt, .19
16,16, 8, output1_MPI_SCATTER_GATHER.txt, .22
16,16, 16, output1_MPI_SCATTER_GATHER.txt, .39
10000,10000, 4, output2_MPI_SCATTER_GATHER.txt, 1.30
10000,10000, 8, output2_MPI_SCATTER_GATHER.txt, 2.45
10000,10000, 16, output2_MPI_SCATTER_GATHER.txt, 2.30
100,100000, 4, output3_MPI_SCATTER_GATHER.txt, 19.82
100,100000, 8, output3_MPI_SCATTER_GATHER.txt, 22.47
100,100000, 16, output3_MPI_SCATTER_GATHER.txt, 8.98
