N, M, K, Method, Type, Thread Count, Output File, Average Execution Time (ms)
10, 10, 3, SEQUENTIAL, None, 0, output_SEQUENTIAL_10_10_3.txt, 0.073292
1000, 1000, 5, SEQUENTIAL, None, 0, output_SEQUENTIAL_1000_1000_5.txt, 33.895292
10, 10000, 5, SEQUENTIAL, None, 0, output_SEQUENTIAL_10_10000_5.txt, 21.496833
10000, 10, 5, SEQUENTIAL, None, 0, output_SEQUENTIAL_10000_10_5.txt, 13.28975
10000, 10000, 5, SEQUENTIAL, None, 0, output_SEQUENTIAL_10000_10000_5.txt, 2297.382875
10, 10, 3, BATCH, ROWS, 4, output_BATCH_ROWS_10_10_3_4.txt, .97654570000000000000
1000, 1000, 5, BATCH, ROWS, 2, output_BATCH_ROWS_1000_1000_5_2.txt, 24.46924990000000000000
1000, 1000, 5, BATCH, ROWS, 4, output_BATCH_ROWS_1000_1000_5_4.txt, 30.23860390000000000000
1000, 1000, 5, BATCH, ROWS, 8, output_BATCH_ROWS_1000_1000_5_8.txt, 59.38342520000000000000
1000, 1000, 5, BATCH, ROWS, 16, output_BATCH_ROWS_1000_1000_5_16.txt, 51.95560820000000000000
10, 10000, 5, BATCH, ROWS, 2, output_BATCH_ROWS_10_10000_5_2.txt, 20.57059580000000000000
10, 10000, 5, BATCH, ROWS, 4, output_BATCH_ROWS_10_10000_5_4.txt, 18.83329160000000000000
10, 10000, 5, BATCH, ROWS, 8, output_BATCH_ROWS_10_10000_5_8.txt, 23.04415000000000000000
10, 10000, 5, BATCH, ROWS, 16, output_BATCH_ROWS_10_10000_5_16.txt, 32.81267080000000000000
10000, 10, 5, BATCH, ROWS, 2, output_BATCH_ROWS_10000_10_5_2.txt, 13.47101670000000000000
10000, 10, 5, BATCH, ROWS, 4, output_BATCH_ROWS_10000_10_5_4.txt, 19.06855850000000000000
10000, 10, 5, BATCH, ROWS, 8, output_BATCH_ROWS_10000_10_5_8.txt, 26.10370400000000000000
10000, 10, 5, BATCH, ROWS, 16, output_BATCH_ROWS_10000_10_5_16.txt, 25.19784170000000000000
10000, 10000, 5, BATCH, ROWS, 2, output_BATCH_ROWS_10000_10000_5_2.txt, 1278.43995390000000000000
10000, 10000, 5, BATCH, ROWS, 4, output_BATCH_ROWS_10000_10000_5_4.txt, 740.24225830000000000000
10000, 10000, 5, BATCH, ROWS, 8, output_BATCH_ROWS_10000_10000_5_8.txt, 573.72616250000000000000
10000, 10000, 5, BATCH, ROWS, 16, output_BATCH_ROWS_10000_10000_5_16.txt, 593.66341660000000000000
10, 10, 3, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10_10_3_4.txt, 1.03046260000000000000
1000, 1000, 5, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_1000_1000_5_2.txt, 28.72843340000000000000
1000, 1000, 5, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_1000_1000_5_4.txt, 33.72264180000000000000
1000, 1000, 5, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_1000_1000_5_8.txt, 76.40770410000000000000
1000, 1000, 5, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_1000_1000_5_16.txt, 50.22870450000000000000
10, 10000, 5, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_10_10000_5_2.txt, 11.77931680000000000000
10, 10000, 5, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10_10000_5_4.txt, 15.06784600000000000000
10, 10000, 5, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_10_10000_5_8.txt, 20.81761240000000000000
10, 10000, 5, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_10_10000_5_16.txt, 17.76506250000000000000
10000, 10, 5, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_10000_10_5_2.txt, 25.59434590000000000000
10000, 10, 5, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10000_10_5_4.txt, 23.87284590000000000000
10000, 10, 5, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_10000_10_5_8.txt, 28.96276250000000000000
10000, 10, 5, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_10000_10_5_16.txt, 43.24769590000000000000
10000, 10000, 5, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_10000_10000_5_2.txt, 2784.31706250000000000000
10000, 10000, 5, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10000_10000_5_4.txt, 1651.50442490000000000000
10000, 10000, 5, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_10000_10000_5_8.txt, 1523.13918730000000000000
10000, 10000, 5, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_10000_10000_5_16.txt, 1615.89738320000000000000
10, 10, 3, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_10_10_3_4.txt, 1.03907500000000000000
1000, 1000, 5, DISTRIBUTION, LINEAR, 2, output_DISTRIBUTION_LINEAR_1000_1000_5_2.txt, 26.35308750000000000000
1000, 1000, 5, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_1000_1000_5_4.txt, 27.57579170000000000000
1000, 1000, 5, DISTRIBUTION, LINEAR, 8, output_DISTRIBUTION_LINEAR_1000_1000_5_8.txt, 61.45207090000000000000
1000, 1000, 5, DISTRIBUTION, LINEAR, 16, output_DISTRIBUTION_LINEAR_1000_1000_5_16.txt, 45.78152510000000000000
10, 10000, 5, DISTRIBUTION, LINEAR, 2, output_DISTRIBUTION_LINEAR_10_10000_5_2.txt, 19.31156230000000000000
10, 10000, 5, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_10_10000_5_4.txt, 20.50860400000000000000
