ID: 254, Nota Finala: 46
ID: 68, Nota Finala: 45
ID: 358, Nota Finala: 45
ID: 156, Nota Finala: 44
ID: 401, Nota Finala: 44
ID: 444, Nota Finala: 44
ID: 468, Nota Finala: 44
ID: 408, Nota Finala: 42
ID: 424, Nota Finala: 41
ID: 185, Nota Finala: 40
ID: 214, Nota Finala: 40
ID: 92, Nota Finala: 37
ID: 192, Nota Finala: 37
ID: 300, Nota Finala: 35
ID: 445, Nota Finala: 35
ID: 472, Nota Finala: 35
ID: 246, Nota Finala: 34
ID: 456, Nota Finala: 34
ID: 485, Nota Finala: 34
ID: 495, Nota Finala: 34
ID: 121, Nota Finala: 33
ID: 373, Nota Finala: 33
ID: 389, Nota Finala: 33
ID: 406, Nota Finala: 33
ID: 494, Nota Finala: 33
ID: 15, Nota Finala: 32
ID: 56, Nota Finala: 32
ID: 105, Nota Finala: 32
ID: 241, Nota Finala: 32
ID: 397, Nota Finala: 32
ID: 279, Nota Finala: 31
ID: 312, Nota Finala: 31
ID: 448, Nota Finala: 31
ID: 25, Nota Finala: 30
ID: 77, Nota Finala: 30
ID: 107, Nota Finala: 30
ID: 334, Nota Finala: 30
ID: 419, Nota Finala: 30
ID: 101, Nota Finala: 29
ID: 106, Nota Finala: 29
ID: 244, Nota Finala: 29
ID: 281, Nota Finala: 29
ID: 290, Nota Finala: 29
ID: 384, Nota Finala: 29
ID: 474, Nota Finala: 29
ID: 27, Nota Finala: 28
ID: 43, Nota Finala: 28
ID: 150, Nota Finala: 28
ID: 285, Nota Finala: 28
ID: 327, Nota Finala: 28
ID: 398, Nota Finala: 28
ID: 32, Nota Finala: 27
ID: 53, Nota Finala: 27
ID: 202, Nota Finala: 27
ID: 321, Nota Finala: 27
ID: 378, Nota Finala: 27
ID: 453, Nota Finala: 27
ID: 462, Nota Finala: 27
ID: 57, Nota Finala: 26
ID: 104, Nota Finala: 26
ID: 180, Nota Finala: 26
ID: 311, Nota Finala: 26
ID: 380, Nota Finala: 26
ID: 420, Nota Finala: 26
ID: 49, Nota Finala: 25
ID: 50, Nota Finala: 25
ID: 65, Nota Finala: 25
ID: 135, Nota Finala: 25
ID: 209, Nota Finala: 25
ID: 260, Nota Finala: 25
ID: 276, Nota Finala: 25
ID: 391, Nota Finala: 25
ID: 431, Nota Finala: 25
ID: 454, Nota Finala: 25
ID: 14, Nota Finala: 24
ID: 131, Nota Finala: 24
ID: 160, Nota Finala: 24
ID: 337, Nota Finala: 24
ID: 301, Nota Finala: 24
ID: 413, Nota Finala: 24
ID: 427, Nota Finala: 24
ID: 455, Nota Finala: 24
ID: 69, Nota Finala: 23
ID: 90, Nota Finala: 23
ID: 199, Nota Finala: 23
ID: 250, Nota Finala: 23
ID: 436, Nota Finala: 23
ID: 464, Nota Finala: 23
ID: 473, Nota Finala: 23
ID: 476, Nota Finala: 23
ID: 1, Nota Finala: 22
ID: 28, Nota Finala: 22
ID: 33, Nota Finala: 22
ID: 95, Nota Finala: 22
ID: 223, Nota Finala: 22
ID: 243, Nota Finala: 22
ID: 282, Nota Finala: 22
ID: 283, Nota Finala: 22
ID: 328, Nota Finala: 22
ID: 441, Nota Finala: 22
ID: 498, Nota Finala: 22
ID: 60, Nota Finala: 21
ID: 237, Nota Finala: 21
ID: 271, Nota Finala: 21
ID: 317, Nota Finala: 21
ID: 339, Nota Finala: 21
ID: 355, Nota Finala: 21
ID: 361, Nota Finala: 21
ID: 387, Nota Finala: 21
ID: 417, Nota Finala: 21
ID: 469, Nota Finala: 21
ID: 73, Nota Finala: 20
ID: 130, Nota Finala: 20
ID: 190, Nota Finala: 20
ID: 273, Nota Finala: 20
ID: 287, Nota Finala: 20
ID: 347, Nota Finala: 20
ID: 354, Nota Finala: 20
ID: 362, Nota Finala: 20
ID: 368, Nota Finala: 20
ID: 375, Nota Finala: 20
ID: 414, Nota Finala: 20
ID: 428, Nota Finala: 20
ID: 432, Nota Finala: 20
ID: 22, Nota Finala: 19
ID: 41, Nota Finala: 19
ID: 51, Nota Finala: 19
ID: 140, Nota Finala: 19
ID: 145, Nota Finala: 19
ID: 262, Nota Finala: 19
ID: 263, Nota Finala: 19
ID: 194, Nota Finala: 19
ID: 288, Nota Finala: 19
ID: 308, Nota Finala: 19
ID: 395, Nota Finala: 19
ID: 393, Nota Finala: 19
ID: 458, Nota Finala: 19
ID: 467, Nota Finala: 19
ID: 103, Nota Finala: 18
ID: 133, Nota Finala: 18
ID: 215, Nota Finala: 18
ID: 259, Nota Finala: 18
